item_name,item_price,item_gender,item_img,item_web_listing
1/4 Zip,$30.00,unisex,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQZYN77PUX7r_8KZ9TYLRiaw9qdr9vcf6M18sVTDSX3DTmQNPwsKTWJMvzflNGA8xitLhF9aEU32MElKBHQvgcOQ7qLhfxw,https://goexapparel.com/products/unisex-performance-poly-1-4-zip?variant=42176116916459&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOop53uM3Y5FQqXbRJDBo4bmkiNZ5naLsM61wpiQeU_6Oe4R9vEGbVZA
AE Men's 24/7 Boxy Quarter-Zip Sweatshirt,$34.96,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRQFGed9lV_4iSUnBe_Qa2idDHzMid72wHONSELypJDtdporjMX7JjVd0eiuNLyUJ26IVL8DBjYd4kvL6L5qDZtyqlTXTcy,https://www.ae.com/us/en/p/men/activewear/tops/ae-24/7-boxy-quarter-zip-sweatshirt/4171_4981_106?menu=cat4840004
AE Women's Everyday Luxe Quarter-Zip Sweatshirt,$25.98,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQmwYDlyT1gO3IJFKREPCae5vl1qA4K0i1fiE6GpBKe2mQ7KdDeh4CiFfsWu7KdsVJRYKDBrfC6H6MazFji8aOmB_w2NYvq,https://www.ae.com/us/en/p/women/hoodies-sweatshirts/hoodie-henley-sweatshirts/ae-everyday-luxe-quarter-zip-sweatshirt/1456_2975_488?menu=cat4840004
Aerie Women's Quarter Zip Sweatshirt,$41.97,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ2IDiDm3OEu6CP8HbEVoT3QtNXy0lekyWpsmfzJoDj9Nlf3Jf-RSJ6gOQtrvQusyEhJs45aqoy2NnPi2NmCNI62gM52C0a,https://www.ae.com/us/en/p/aerie/tops/sweatshirts-hoodies/aerie-quarter-zip-sweatshirt/0651_3982_192?menu=cat4840006&ip=off
Arctic Quarter Zip,$59.99,unknown,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQSgMO5IdbH_BsPXSjV2yS_RSwcKpefmnxxpeUz-Gxo99YuqGk7fBHelDhQ9Gv-Z6TgaiTbOK4E9GXPYdDAJOgBsH6ka-4x3OcbBTOzh_-Mi1VqYE9nYWryfQ,https://andcollar.com/products/arctic-quarter-zip-jet-black?variant=45247287984324&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopifkVzIFvTzCk8Gb4wa5Xy9GxawhPl6ZjBDgPFRJelaHQE5GhwT0s
Aritzia Cozy Sweatfleece Boyfriend Sweater,$95.00,unknown,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSsAPwdazmBkKdtSOtkXlTpI9GsIuGtBGYviJHomL6epivpB1UNH_bfzVwued56hxZ_k_E7Oju6RVE9pOCpEGhQC6jBthzG27rGb8OcF_K-LJEfgpcdfgd5Og,https://www.aritzia.com/us/en/product/cozy-sweatfleece-boyfriend-1%2F2-zip/116267520.html?srsltid=AfmBOoqUtw_zq5gB6tzVIGSiXnUhBL0j1ERedQEwfaq3Rpjp2BLLgxFW2kw
Athleta Women's Forever Fleece 1/4 Zip Sweatshirt,$59.99,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQPHqvhzsXwVgYerrqIcfFSlbinJlpSENUxQiRLXpdLo0p4axk0Ot_1mKNp5MFCTyInAui0np2H066F9i9GyPa1EqbaRf_7cwd_lcFRi6Xq,https://editorialist.com/p/athleta-forever-fleece-1-4-zip-sweatshirt-38832393/?pla=true&size=S&utm_source=google&utm_medium=organic&utm_campaign=organicshopping
Atmosphere Midweight 1/4 Zip,$98.00,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTv6RX6JgFnKnFbuDnEk92r0aiuisTYdDjfCnCmxIc132nnE8hfhFCSdYlyJrFe7CxBzYixzojRsm4DLluj85Ksj3Y0VZ9OLA,https://www.rhone.com/products/mens-atmosphere-midweight-zip?variant=45554738397376&currency=usd&sty_de_label=%0A++++++stylitics-data-enrichment-control%0A++++&srsltid=AfmBOor5ruTzfWwIDErby4_60OfpC9RxvTqO8yCvaHgdWEncH_2LgBbDiSM
birddogs Men's Quarter-Zip,$125.00,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ7qmukvDZl534rNZ7qLMQr4JKwwqhVGmaUAZJ4zZtNl9hJJemx_uk2jqVtUEm4Wp2H4dIdWj7TjMwKZIsYWx9__Xa-3AER0_oXqtDVrUu3,https://www.dickssportinggoods.com/p/birddogs-mens-1-4-zip-sweatshirt-24ornmqrtrzpxxxxxmaa/24ornmqrtrzpxxxxxmaa?sku=27344332&srsltid=AfmBOopb4RpzoBolApHWaLoLFaRQ8Lksf1pDtEy3OygrjGFJp03-MeRGmAE
Black Clover Men's Members Only Quarter-Zip Sweatshirt,$99.00,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR8njHLl3HXqGKZcfB7DGXtXSL1KTP33mredQIA2Lgp2_bH8PZHX_Tq5CYEpxzfQvtJ0eQa3vBpNibONf15ZNx_BtI30Dgqm8KgkkoV202HBUXWpq_1aDTy,https://blackcloverusa.com/products/members-only-q-zip-black?variant=60667370242418&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoolOFLavb4rn3suoYq1IWNnLiTQXxM3XfWCsonje5sc7qKjCEBEgFg
Bobby Jones Signature Leaderboard Pima Cotton Quarter-Zip Pullover,$145.00,unknown,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTnJMJDDP54LhWunYsyujU1-hGHif_DIWbsvFV_2K3byXm8AVc3q_i4gj5AhStbOCsfqNXuMLH7roDqlLADd-_Yjhb4X8oEHfW0IEHQZENq-WeQHBDUY5Z5,https://bobbyjones.com/products/bj480402-leaderboard-pima-cotton-quarter-zip-long-sleeve-pullover-1?variant=40575266717891&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqM20CT1IprULFrgLZr4cdOfPwOkvNSEQveyqxEJPr72U_t_mCjsf0
