item_name,item_price,item_gender,item_img,item_web_listing
32 Degrees Men's Cool Crew T-Shirt,$4.99,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQrPFM5ZlvApJKNo9doABmVNln02TRPM6me1ljQfAUqHqg-rpMHh8-LszuNdgTSsxjgRLXdqqWxJC3GaqamTXMq8mTXR6RaPQ,https://www.32degrees.com/products/mens-cool-crew-neck-tee-shirt?variant=3015431258152&country=US&currency=USD&utm_medium=product_sync&utm_source=google&srsltid=AfmBOooxOPvqJCgz81-ve0bOoASPBWpgoW0jCmK5BnllWDCINhfAeYpRFPE
5000 Gildan Heavy Cotton T-Shirt,$3.09,unknown,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRjMjkz5w8CHaL3pvPDwcAKSLd-HWaXZzTEMTkosrUJHlT6BzmO-JIRTrL7QeY0upx62hWbUvnJTFby0kPCwsnFzuqo_6V2lrYnHO5KvH65YO3oOkKkkhx_DA,https://www.shirtmax.com/t-shirts/gildan/g500-heavy-cotton-5-3-oz-t-shirt.html?color=1019&srsltid=AfmBOopppkeTsi3AFaRiN6I3fnfKlZAH6Yu-_zBBgVZar4ZcdG1uvtRJNZk
Abercrombie & Fitch Men's 7-Pack Classic Essential Tees,$110.00,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTF8lAp2Y3gf9JsJY4xFOhOpZnvjgesYVAO48GJmmn3xVdMufQR8LeZ_YpgZgTdCr-M0RL6MQKEeDp16GAmZa0-R5D7ftHR,https://www.abercrombie.com/shop/us/p/7-pack-classic-essential-tees-62667822?seq=01&source=googleshopping
Abercrombie & Fitch Men's Classic Essential Tee,$14.99,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSLxuT-CDiwodojm1YdVaIU40G-mjTOBW4tdqGutY90zEl3Id5tpdpUWaEpZylSV0Ilx1GuWnmb2l87ABKl0cjQG87R2A45tA,https://www.abercrombie.com/shop/us/p/classic-essential-tee-62524325?seq=04&source=googleshopping
Abercrombie & Fitch Men's Premium Heavyweight 2,$40.00,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSQmselz8CCaUsBNCuF14cZr9NhKBPdUv-AhgN-fsNMyRDqwJKladQb7ekFFRnnSoZpF4b1SKvrDZQpIhVKQH_GhARtaH7U,https://www.abercrombie.com/shop/us/p/premium-heavyweight-20-tee-58965824?seq=39&source=googleshopping
Abercrombie & Fitch Men's Resort Shirt,$75.00,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQ_ZuqZUVKB0SMRccgkrBiBMSLoz1Mwy7RQVNA-8wlMCF2edj2s_UkTCylWKYoSS8i7rtn-VyZYQ9wUEQuoifn8uZ5pCO2y,https://www.abercrombie.com/shop/us/p/a-and-f-resort-shirt-61849330?seq=02&source=googleshopping
Abercrombie & Fitch Men's Short-Sleeve Button-Up Shirt,$32.97,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSFIs9dG8i1TKvgCYs0cTrG_p6Pdn7rlaqqc-AB3KnAaPT-_EVOHPtqwwfu3I_zRG_BpczCG2itXFqeNqvEW01MNV8DdxYJ,https://www.abercrombie.com/shop/us/p/short-sleeve-cropped-guinness-workwear-button-up-shirt-59620862?seq=07&source=googleshopping
Abercrombie & Fitch Men's Slim Polished Signature Icon Tee,$19.00,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ-TJGCAWueCFwvtoSw7FJTjtOWA0PK1EWH4gLU8cVmXvwdL1kkp2gPhIEMXYHAnAYe66zkqUnVmCvRMpOlumTGdW0Wke0dzw,https://www.abercrombie.com/shop/us/p/polished-signature-icon-tee-55041322?seq=07&source=googleshopping
AE Hey Baby Tee,$9.99,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR5fnR70ONGZ7I_n6RpNzddGKIfpztcHZF9PyXgx3ZOzlqpCb-R3TyocI8IYg0ra3cOK0nsc3egX0QigJfNGngwKcZjxF5F,https://www.ae.com/us/en/p/women/50-off-deals/hey-baby-tee/ae-hey-baby-tee/2370_1638_200?menu=cat4840004&sty_de_label=%0A++++++stylitics-data-enrichment-control%0A++++
AE Lived-In T-Shirt,$11.97,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQm1-YHNTnRgZ7NvZSWPUyY49UVg0ZQmoPVeOKh1EqsXgmv5FlfKdLdGJ03fS0Dujg7gLVcTvL4cUSNV2UbA6Y-AEp1XFFb,https://www.ae.com/us/en/p/men/t-shirts/standard-fit-t-shirts/ae-lived-in-t-shirt/1164_4993_400?menu=cat4840004
AE Men's Lightweight Icon Graphic T-Shirt,$9.99,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQo6b9mbq0jkWc6Unc9RO_nA6DN3HpMx0IwYacYG7eBciSdn4VC6vaXb525uunI0JbSDaz7KEy4pb8b4cykTGDrNd0Y-GMYoQ,https://www.ae.com/us/en/p/men/t-shirts/graphic-tees/ae-lightweight-icon-logo-graphic-t-shirt/0181_5717_256?menu=cat4840004
