item_name,item_price,gender,img_url,original_listing_url
AE Women's Mid-Rise Wide-Leg Pull-On Pants,$24.99,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRbUB1caI5ro01imYDt1Vd93s0U8xBqOuGGlVGgtrEUqtJwbwUEXHJDlDC-MRxVwMhFYCZnNwHtcdrPU93ruZmeEGe4FSSGyzTwoloaoSIBQtKDo4DOK8K3,https://www.google.com/search?udm=28&q=AE+Women%27s+Mid-Rise+Wide-Leg+Pull-On+Pants
AE Women's Stretch Low-Rise Baggy Utility Pants,$24.99,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcT2aj1EgDmct5Jf9lJR9ySqjkGiCT0wPJP04Ti29ZSignaX2l8xUtEGZuagBrjGvtd0TGQq_Iob62Ad3hwN_KTtK4-U362MQodZxfrMXosMc5K01HhxrqrW2g,https://www.google.com/search?udm=28&q=AE+Women%27s+Stretch+Low-Rise+Baggy+Utility+Pants
Aerie Real Me High Waisted Crossover Leggings,$40.45,unknown,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT3N5xC4CrLH4cHD5FSJsMVWLcCxRXkDtkf7XTBOAXf6xu8En_gFvCOqSGQbtFz-vSlalXyNJxnQC8JlVR75iYwee5vF0jBrkMxq-b7o4yQarXsB0cZ6kGw,https://www.ae.com/us/en/c/aerie/bottoms/leggings-yoga-pants/cat4980018
Aerie Real Me Xtra High Waisted Trousers,$66.45,unknown,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQutR34ko8ZJlMvPtaGSWYDQ-W6yH0Y47OWSs-WgZQXr1LNdHtAh2xni_wGd0YMRj46PwySlS3qbLMNe-ZeMBk-VJMIWxTcTHKMq2h-guPn_0TSRMEZV-SAo1I,https://www.google.com/search?udm=28&q=Aerie+Real+Me+Xtra+High+Waisted+Trousers
Aerie Women's Street Trouser,$52.20,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQvFG27R16-agi-kciOokZLc6Odsot7tSsCBG-L9Trtw9QObBy7iYO1f7oocCWRmrK7ON74Zg008YWr9TCmGMrMLKPUK9eyzOhAJxKJAGxBElxex_AxzDMyMw,https://www.google.com/search?udm=28&q=Aerie+Women%27s+Street+Trouser
Alfred Dunner Women's Elastic Waist Short Length Pant,$23.99,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQfCGxdaY25JpkHcBBA8nsSXzxMXSjwu7k5-pNt9fs--WuJlQr8iIdzgXUeRk5pFlfnf-edOuWRnCUZIXUdeZSl2i6HQTKLqIoFA2RHxgtGpziaayMAM4eYOw,https://www.google.com/search?udm=28&q=Alfred+Dunner+Women%27s+Elastic+Waist+Short+Length+Pant
Alice Ultra Light Straight Leg Pant,$248.00,unknown,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQixUxI72mTm7JgekbV6AHQJpzGhgJNyIdRAHnw8u5MtQMz1ECqxnbNXuEcHs7KosUBnzcjQews38687qIp6GxkLGRYqasjxLzaf52_j1YhBiJU2SsC4KS99g,https://www.google.com/search?udm=28&q=Alice+Ultra+Light+Straight+Leg+Pant
Ann Taylor Women's Bridgette Pant,$71.40,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSekojEBEomuNjDoQF5z70tHnCrnZZ_rtApNMwjcpdN27doe6JcYoRyq_e3wzZw699TnOPey1hv5ECVaEmKvxTbKBgP98CeyFI5JEWYxkTZSB_4s0P81sr_tEE,https://www.google.com/search?udm=28&q=Ann+Taylor+Women%27s+Bridgette+Pant
Ann Taylor Women's Easy Wide-leg Pants,$80.99,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRWyWu9b5m6FVYMJvkPfCLPYx7fCJrKvYeVzbPWuZFxGaPRE50YV_yu9Xqn4xxy-fiPnpoYyjGm82ixrmH7kgcVSfPOZWxNMefOzbuEWZPm9Hs54k6r2akGXQ,https://www.google.com/search?udm=28&q=Ann+Taylor+Women%27s+Easy+Wide-leg+Pants
Ann Taylor Women's Eva Ankle Pants,$58.80,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRXtmXSLLgtjvRIq2XF2PX5V_UeDPaWPbXqFuOC0v08fvQVU0TwrwI5bDMSQy0R8_K6TVc_gJNreIw9abLdla1zoJThdES0HdRPopWfb_LjU1OYrSzgzh1D,https://www.google.com/search?udm=28&q=Ann+Taylor+Women%27s+Eva+Ankle+Pants
