item_name,item_price,item_gender,item_img,item_web_listing
& Other Stories Checkered Blazer,$79.00,unknown,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQ-VwCqqBuFybmljMBkTA-4YYLLNDjxTe8HG-XAFYWKKVAel0j_NDzm0UPhIs_7TcOXequmcUEmLtFWIJ1tMo_enqJY9j2A,https://www.stories.com/en-us/product/checkered-blazer-brown-gingham-check-1276757001?srsltid=AfmBOorJmiXYixFyDFzaM9-VGwAtXLWKjZj370ET6OdUiYzyR3_3QTSjYuo
Abercrombie & Fitch Men's Collins Slim Blazer,$79.97,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ1H722gg_SjkQMLnyys3Fro9obEVXHgAuPXxRVCaJTd1oDn0orB3dP-kg2BYvSybTgT_1JdP7RqzbXWkIwnCSre2xP0R7y-g,https://www.abercrombie.com/shop/us/p/the-a-and-f-collins-tailored-slim-seersucker-blazer-59408890?seq=07&source=googleshopping
Abercrombie & Fitch Women's Classic Suiting Blazer,$120.00,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQzg9hQDW9DFEbLCSuLK6AjOHvdKVlUEsDemp12nBBYOeZd8AipyWbMct3MLHe8NuGuCxzNlGFChGX4Jx2BPkv69vuVJ9E-DA,https://www.abercrombie.com/shop/us/p/classic-suiting-blazer-56943319?seq=03&source=googleshopping
AE77 Premium Wool-Blend Blazer,$99.20,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTZzjjeoPeihN0PSQRWKZwJ677IyR6uxiA0kVzEsBSH-zVMa7JoIt2hbpMrJsOaU2ES6R4qcK4kMLyl_PMWecrnoDZM4GDJUQ,https://www.ae.com/us/en/p/men/tops/ae77-premium-tops/ae77-premium-wool-blend-blazer/2308_2319_410?menu=cat4840004
Akira Spend It All On Me Embellished Blazer,$119.90,unknown,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRNDiTIbYAi3nC-tBIdT9nlxO5lHBqv1iddnryRLYGQQwPLf4JSHwdk1wW9_26u8iGkFotkCn7PgdV-T1bj2vDNwvvwv_eNx_q3KAzjLKBIom7tiq8gV_yTrw,https://www.shopakira.com/products/spend-it-all-on-me-embellished-blazer?variant=50422810247483&country=US
ANINE BING Quinn Women Blazer,$550.00,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQSw7LBwbYFdRjDNpSkQ_TluJE5-GEIbag2y4ufVRz1gdqVv89Vh6Ws1zJ2vutFOGPA1dgiwD_Un42XdUDJ1jfbBKK5whHm,https://www.lyst.com/clothing/anine-bing-quinn-wool-blazer-13/?product=CRPYGAQ&link_id=1009800808&_country=US&size=L&show_express_checkout=true&atc_medium=cpc&atc_campaign=USA-PLA-FL&srsltid=AfmBOoq84v5AR5_7wyYbd0paUUVcv9k2_1Q4SUKAhFgs1wuLHjl7dDC5CVY
Ann Taylor Women's Blazer Jacket,$57.95,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRPeAC1dtqHCmJLV9Pf92e2Bg4zNzrid-eHY-7girsNuwoMso6phLaMc-0cWw0ytI3CG8WdKJDB8laQJSLdzkR8RSK08Nuf,https://www.anntaylor.com/clothing/jackets-and-blazers/cata000017/blazer-jacket-pique/846218.html?dwvar_846218_color=8924&dwvar_846218_size=060&currency=usd&country=US&srsltid=AfmBOopjQcl2uhneED_NTUCocwFKc9qh6ybHKKyfSouEwx75KH1PTOmyOpo
Ann Taylor Women's Cutaway Fluid Crepe Blazer,$125.40,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ34z9W1w8BcZAqcw_4d2soJJT-oJpqORJ58wHgimeVRGoST55QL6Fr2kxW77vv2C0uQmFZTZkI-EF_NHn6_6-bbWGlQJwRNw,https://www.anntaylor.com/clothing/suits/cata000013/cutaway-blazer-fluid-crepe/851927.html?dwvar_851927_color=019862&dwvar_851927_size=002&currency=usd&country=US&srsltid=AfmBOoo3zuSTBvg5Q-Y5olURkifc9UDhH6q8m0z1aeOKPFNu0k0CpU8KB90
Ann Taylor Women's Fitted Long Blazer,$125.40,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSJQpJFxT4aFSGdUTiRSmBFUYaeQrD73Hw_JNFKju2fjoqNdcTAuCJe0ak1fqgvgGJbNZFyiJilXBAcog5QeNoTSEPk4P27jg,https://www.anntaylor.com/clothing/suits/cata000013/fitted-long-blazer-seasonless-stretch/853900.html?dwvar_853900_color=6600&dwvar_853900_size=100&currency=usd&country=US&srsltid=AfmBOoqh9wKX9M4GrMCaD-4jfimOJSjNNJc9-GV7YWEeMyV-bLjgquj9Ecs
Ann Taylor Women's Fitted Plaid Blazer,$131.40,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT1EV1LzdLsgTEi7KsSZcH7hCuVq0uMnNRWWHYHny152UiIHNsP3XCcr7t59m3ECddYtyq6R1ArrMRUGmVOlknKSx08BJXK,https://www.anntaylor.com/clothing/suits/cata000013/fitted-blazer-plaid/858752.html?dwvar_858752_color=020280&dwvar_858752_size=000&currency=usd&country=US&srsltid=AfmBOoobBXkiKjOod1k2_SdGIYWZQ-8yyRDTGo5Cu5BDRUMJ9WNNcYdU0KA
Ann Taylor Women's Greenwich Blazer,$68.00,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRwIR34qWjt4W3-LTfDAybRkRJpqflGwRFCZnhJD7EgfjQ17Ym8F-gpCgslZjOyJwzspbEhPDegLAGlPyyOlaryLsUwIix6YQ,https://www.anntaylor.com/clothing/jackets-and-blazers/cata000017/greenwich-blazer/857668.html?dwvar_857668_color=020019&dwvar_857668_size=000&currency=usd&country=US&srsltid=AfmBOor8ulDWcNL9zRHqkJG2b7AFDicLaI_Hagol6VwLInmEUo_PkKOcfTE
Ann Taylor Women's Long Collarless Fluid Crepe Blazer,$125.40,women,https://anninc.scene7.com/is/image/AN/603689_9007?$fullBpdp$,https://www.anntaylor.com/clothing/suits/cata000013/long-collarless-blazer-fluid-crepe/603689.html?dwvar_603689_color=9007&dwvar_603689_size=100
Ann Taylor Women's Longline Bi-Stretch Twill Blazer,$66.00,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSNKSEXXPzzGjGuUeLwq4DVdy-meuJg5JOs35RSrD6-qO3wXS2tXiZKgffaahx-wuYJKaHOzzx3CdmXwAIAYt9q82uLmJZF,https://www.anntaylor.com/clothing/jackets-and-blazers/cata000017/longline-blazer-bi-stretch-twill/854261.html?dwvar_854261_color=7685&dwvar_854261_size=060&currency=usd&country=US&srsltid=AfmBOordofKMpbFs-W2pOwgdCOApebopTbuR5m6UnTnbNM2HuQGwWcPIypo
