item_name,item_price,item_gender,item_img,item_web_listing
& Other Stories Gathered Blouse,$129.00,unknown,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTmM9pEDywTJEJFLQ1BJwIy60MTmV6gGu6e4OJhucG16GSccVv2OjFPrpp-DsSqEPv80qmiTvN3y7KS32QHsZnUHLFGpavRKA,https://www.stories.com/en-us/product/gathered-blouse-light-blue-paisley-1335503001?srsltid=AfmBOorr5fx5Uw0s_e_VBOd1p3tGPSKLIbrlYrdAw5FgO9ulM64i-FQD6HY
& Other Stories Voluminous Balloon-Sleeve Blouse,$99.00,unknown,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTznNDDibe0-0aa4MKPpo2FTUZAhpwoWHSr6PaN_SliCPXGUDcIjzTC-p3Cq70FIoSIlaZE-dR1rB4hlw5VvBEWCrR89u7JKg,https://www.stories.com/en-us/product/voluminous-balloon-sleeve-blouse-dark-red-1290682002?srsltid=AfmBOopOUAbvS9mFJ4e-elHTrul4FYtMsvADz60pms5P0oz9OnqSbRV040w
Abercrombie & Fitch Women's Linen-Blend Bandana Top,$49.99,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcStIlG6RTfYkGIOwOzobDHJr9j8U_ZDxbKlpywAMdXm2R9vMZyOlqUkRjwlL5csmKuLs-t83IIaNi_HYKwN5BVNOj2phrpwfg,https://www.abercrombie.com/shop/us/p/linen-blend-bandana-top-62515831?seq=02&source=googleshopping
AE Lace Trim Blouse,$24.97,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT6Pv4xqoaouD6gI9K9sqasuqo1dMwqGEIsPP3P0rUP3Qb2tNzcW7LGiTbG3J1_tOokGVodXJE94v7XvG4de7z45Pb48dPV,https://www.ae.com/us/en/p/women/shirts-blouses/blouses/ae-lace-trim-blouse/0358_6632_001?menu=cat4840004
AE Women's Long-Sleeve Babydoll Blouse,$27.47,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT3Brje5xhOI0AWIvsw0RYnxXrqiE-9NXmVzs1bpfRGc7xyNtR-YMULzEK3X8jwY_NSP8ddbBEnt3TGB2brrNj_JfYqnqWmQw,https://www.ae.com/us/en/p/women/shirts-blouses/blouses/ae-long-sleeve-babydoll-blouse/0358_6590_121?menu=cat4840004
AE Women's Ruffle Lace Blouse,$34.96,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQQkQkLyyBWXY4FN2b59jGO60LILujoMcDOQEJyBdPPdUkcG815B5KTKak7gQzovKEsEYdEJ1cNoScYt-VH619UuuPdnPbERg,https://www.ae.com/us/en/p/women/shirts-blouses/blouses/ae-ruffle-lace-blouse/0358_6487_131?menu=cat4840004
AE Women's Short-Sleeve Button-Up Shirt,$34.96,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTptgs_1Nov9KWosHL6Ov8C0MN2wqRD_P3iuzGeHCUOo8B8IOyD5iJ7UJKfwSDByEYCQb4W8CgpKDVW2oVr5ANLlX2Mkveh,https://www.ae.com/us/en/p/women/shirts-blouses/blouses/ae-short-sleeve-button-up-shirt/0358_6611_900?menu=cat4840004
AE Women's Short-Sleeve Tie-Front Blouse,$24.97,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSgrqoPm2PT0BEgmduTbrl9qv0vjljtCMeOjIbCd5y8BXGXOLCCUfqI-sqwuCl3B5OWKrF7_NVmT9GbtyMLM8vogOTvPljkEw,https://www.ae.com/us/en/p/women/shirts-blouses/blouses/ae-short-sleeve-tie-front-blouse/0358_6648_131?menu=cat4840004
Akira Queen Type Blouse,$34.95,unknown,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTh5W1ByR40kT76nW_TklJIy7071O-MnfbcykuuwaSxNbkckRUPLus6ClMkbRB6p1U1rB3fQ0UdnxQEN6wbMwcVzEyBYF16_XcZ4LyoZVhSODRd75toGsUe,https://www.shopakira.com/products/queen-type-blouse?variant=50297799049531&country=US
Allegra K Women's Casual Ruffle 3/4 Sleeve Floral Chiffon Blouse,$34.77,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQPcH-bwGNOvM33vdGN4diJOx4JfYwRyZBZ3oREHbX2uHc2MLG-pO56cWukA51Nf5sYVgRBjv2eloxQUYu7UWuVdk2W_14KIGvx9VZzqw0HFrfOemJd5K260aA,https://www.sears.com/unique-bargains-women-s-casual-chiffon-tops-ruffle-3-4-sleeve-flowy-floral-print-blouse/p-A130847203?sid=ISxMP3xSOxGGxDTxSURF&srsltid=AfmBOopCqKSTMKFge54YqOTfjICdhjmXPFxl6MwEtA-_lfKLUAhGfmd25Cg
