item_name,item_price,item_gender,item_img,item_web_listing
& Other Stories Rib-Knit Cardigan,$119.00,unknown,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcS8qR5Xaqtc-D5l0cg04-_nSJ5UV2zDSYtlD3nnyyOS2EPcxV-gvOP6VoLN687QnH38mzJXbaOEzdhIrESgzypowWq9Qc5x,https://www.stories.com/en-us/product/wool-blend-cardigan-grey-melange-1311938001?srsltid=AfmBOoqdFmsU192W7O5uynXQrzu_LQSA_sLqA5Hy01e99tkRkdRsbwMLrG0
& Other Stories Wool Blend Cinched Waist Cardigan,$129.00,unknown,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTCB37GERekkdVhOvYoJdWO2xvtgMszoqNKarfngJ68uSUECa_Lno22L88IzgHU6XvkN5GzFp0puiz76MDW50pFFDBwBvIpgQ,https://www.stories.com/en-us/product/tapered-knit-cardigan-beige-1286642006?srsltid=AfmBOorPCTTio3jZV32GrT0b_UgguX2K0kSXn_iSpA8uxkhskWlEW2f5nR0
24/7 Comfort Apparel Women's Open Front Long Sleeve High Low Cozy Cardigan,$39.85,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSaCjgEsVCSaVaUhk3vLuWYJAH46j078e0Zh-GJtCxgde46iiynkKZO367ccV3MpPrupW0k044K418xlS25tTe3orI69YhVmEiFKVnBx4BIAH-c2WpCw8jNgg,https://www.kohls.com/product/prd-7303369/womens-24seven-comfort-apparel-open-front-high-low-cozy-cardigan.jsp?skuid=70326506&CID=seo_offers&utm_campaign=SAG&utm_medium=organic&utm_source=google&utm_product=70326506
32 Degrees Women's Soft Sweater Knit Cardigan,$7.99,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQKivHoHdQ9KcALyn--bIR5gx6tKXzq1Btbaahq9fHg8FduvCpJye9eB5YYCAQrm_-giiClBk2fuZJxMhBpTAvbgZ-PrfeT,https://www.32degrees.com/products/womens-soft-sweater-knit-cardigan?variant=42505136111705&country=US&currency=USD&utm_medium=product_sync&utm_source=google&srsltid=AfmBOopSDVopBT61ivvQS_smXagQgSu8FZSRBkzjqy-vprgD043DZ9PfYpI
525 America Emery Cashmere Fair Isle Cardigan,$329.00,unknown,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQZxTypTSBcyLUbJL1gpI-IIknFNI-CYWXo0adjlW2Bai98PUbTde0wWbKj1GFZmetqNlPqxrJC8LyZI-hk-S7J0O5hhp4H-7ycv6R84z6fxGg935aJqDrrLw,https://www.525america.com/products/emery-100-cashmere-fair-isle-cardigan-chalk-combo?variant=48586330669308&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopts1YrpHrpHgF34rM9kmtmPrz87kltutM48BZ5yprZi9_FspImAA8
Abercrombie & Fitch Women's Cameron Seed Stitch Cardigan,$34.99,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS2DiPyptHahkBR_mq3IMp0s2B95gEuXHhZ4fjtb1v3_x8miJgKWHaK5HAwSmhIX0LGMXNqyouhsq0C7yeHyUFgudxfaV3PBQ,https://www.abercrombie.com/shop/us/p/cotton-blend-seed-stitch-cardigan-58726851?seq=07&source=googleshopping
Abercrombie & Fitch Women's Crew Cardigan,$69.99,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRbr3-Bs7tzP9pzAMUwoFqHVvbI-ld2VoRxDm0jIlGuxxpQMDsBiPG-ROZGb85wc7Fo8iPrGVx4a_sJby5ZBp2mw1ervF3ksA,https://www.abercrombie.com/shop/us/p/crew-cardigan-62240393?seq=09&source=googleshopping
Abercrombie & Fitch Women's Dad V-Neck Cardigan,$39.97,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQOTvy2J_KpJ0QCi-xRlPMNlfZ7rfiNFVPvG8amHVnSaw9EcRlBK5U7U6NRptgYCJlYSbWJYyTgW0Wt-mMGYD_3lSuGWPCR,https://www.abercrombie.com/shop/us/p/dad-v-neck-cardigan-62240399?seq=01&source=googleshopping
Abercrombie & Fitch Women's Double Zipper Cardigan,$44.99,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSq0fbSl973eZoDXBI0bXjxtKF6t8SP6pcfi9p66o19wMzswXpR8Tb4bqvwMLsBNmvRGRTdqH1tMCvIT_SBZKOnApqGqijg,https://www.abercrombie.com/shop/us/p/double-zipper-cardigan-61531319?seq=03&source=googleshopping
Abercrombie & Fitch Women's Pointelle Shrunken V-Neck Cardigan,$29.99,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQYwtY8Iq2xGqCzXdZgotR19DDuaMpCr8XqyIvsEcvoEfbszYEQqmpj1-iiMK5-T93fbMbunVgrH2lyIsUd4fRhzw_bEs5jOQ,https://www.abercrombie.com/shop/us/p/pointelle-shrunken-v-neck-cardigan-61531941?seq=01&source=googleshopping
