item_name,item_price,item_gender,item_img,item_web_listing
280L Women's Threadfast Apparel Impact Leggings,$15.07,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTRzycP4__G9aD4z0ltwAwDMc5tJmYhoTwaM7hR5d4K1hIosWPU3IUTlKdT6hSN2_9-OBCg8mkjUz0NdtPmIU26xHgTYejO,https://hitadouble.com/products/threadfast-apparel-280l-womens-impact-leggings-dark-camo?variant=51227531149623&utm_source=google&utm_medium=cpc&utm_campaign=Google+Shopping&currency=USD&country=US&srsltid=AfmBOopOZiNYaK2oPYVhx9gSnuwAcbJcnHtrCQo7S-Iyg7-8qAoypQFvnkw
32 Degrees Women's Pants & Jumpsuits 32 Degrees Gray Leggings,$9.99,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQNZOGsWmLW9SpPl9jQTIGHaPFfReYJJNTr1CSZ8zPYG-rtnw3Y7t7i_kq0KK-FTx_EDcgzWOi5Vi5oSAaprthhGUDRwVdHLg,https://www.32degrees.com/products/womens-active-7-8-legging?variant=39532308070489&country=US&currency=USD&utm_medium=product_sync&utm_source=google&srsltid=AfmBOopEesQt5xSvY1DOhDTargsBdQkwGzF6AUDu-A1K2R-IE60UMvTOigA
32 Degrees Women's Pants & Jumpsuits 32 Degrees Leggings,$9.99,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcROvlLn8hWje71pMOe6c_Ov81KkEJRvTcZ_E-Cp_uZYRGYOwgXMKw-hQmnmL1rszz4Br4RacF9xH6dS9RSoHt1mHwPGBFvn6A,https://www.32degrees.com/products/womens-active-legging?variant=39657371074649&country=US&currency=USD&utm_medium=product_sync&utm_source=google&srsltid=AfmBOoq6OP5TPyGclKkylMZX01Cw37v9GElO2f9Vg4szXkkYbkU1_mOEg18
Abercrombie & Fitch Women's Curve Love 7/8-Length Floral Leggings,$49.99,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS2ub1YzxQL_PF7DeipARcasJ_q6oOpTS68cL6kLZ-myadsa0VnrNs8LkUUmJmXmI2gMEo2djfTWLB1yECBM2rcyHmDhqK9dQ,https://www.abercrombie.com/shop/us/p/ypb-curve-love-78-length-legging-62516320?seq=06&source=googleshopping
adidas Women's Essentials 3-Stripes Cotton Leggings,$24.99,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQZcGYvUlujGcEfzH54PSFyUSqjCoRGZGEUgfzRBV62o4lcRzJ5mmQdnFJJnBqL0lKEbYoNIW7YIyU7MeiwCKEC6Q1GzEDBnQIP-ul-Kpqdi3L1GJAmWf9k89w,https://www.macys.com/shop/product/adidas-womens-slim-fit-full-length-high-rise-leggings?ID=18578085&pla_country=US&CAGPSPN=pla
adidas Women's Optime Essentials 3-Stripes 7/8 Leggings,$40.00,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQzUEy4nByPuQMhAPwOGe2GXIS-V-Pi0Ek2XLmjqiLwbxOQsXtclCqbHETtSrgWGMw6uXGCE8qwFsuCkIDUKAvZ0zhj66_TCFG4vVdiPWJPZtUZDmeQ0DrM,https://www.kohls.com/product/prd-7466034/womens-adidas-optime-essentials-78-training-leggings.jsp?skuid=69682488&CID=seo_offers&utm_campaign=SAG&utm_medium=organic&utm_source=google&utm_product=69682488
adidas Women's Volleyball Long Leggings,$38.99,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQPrbWcrzlwxjV_loF0lpex1HuoR2BHZg8Y66W4MWHUMSjsyUWKQ-GnoReje_LymT7V9GJGaQP6erM7rAymzDBVeDuMBhMUKWcXibrgFzITsCWIYFXPoeW_R5Q,https://www.leagueoutfitters.com/products/adidas-womens-volleyball-long-leggings?currency=USD&variant=43993613074492&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=20c494d8399a&srsltid=AfmBOorqrgzsLBqn5Rx_-E3JANTfT-4vEXBx7vqgXFOF1-1HBbqGTCxQnjs
AE Women's High-Waisted Pocket Leggings,$27.96,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR3I9Iziu_s0hclZY0C7JZR2rpn-dkF2tDxFRo4FyI7OtAJKrAHLsdOCkI3T_O9JtWyU41xiCAwlMGXu3q-DnZpuDWEKmaB4A,https://www.ae.com/us/en/p/women/bottoms/sweatpants-leggings/ae-the-everything-high-waisted-pocket-legging/0424_5334_073?menu=cat4840004&sty_de_label=%0A++++++stylitics-data-enrichment-test%0A++++
Aerie Real Me High Waisted Crossover Flare Leggings,$32.97,unknown,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQkyZHfZdi0EFkSQvme4lfeqI84ADyXc3snVekwfHrMk2VUnAakFLHHDM0_PzNjojTxhObidRDgDXThQ-muliohel2GtCalRw,https://www.ae.com/us/en/p/aerie/bottoms/leggings/offline-by-aerie-real-me-high-waisted-crossover-flare-legging/0702_5230_435?menu=cat1090003&ip=off
Aerie Real Me High Waisted Crossover Leggings,$25.00,unknown,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR2OVXEX5qJ8_voz1GfOgaYo70tCM4uCDYPJxcmTUozkT4js6pa5GSTHCOzILK3ffP_kerYZmvu9qaHpfd8qzBgJHyzl8Vq,https://www.ae.com/us/en/p/aerie/bottoms/leggings/offline-by-aerie-real-me-high-waisted-crossover-legging/0491_5109_213?menu=cat1090003&ip=off
Aerie Real Me Xtra High Waisted Colorblock Leggings,$27.47,unknown,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTHCuAJ7d_lPjpQBuHk_7Yr8o-eEaOqSk0K4Qvzq4xe0j03eJBVTGibBGGTif5YQ-aEnaP5nFVQqDUQPOhrPyN16mw1CGh89w,https://www.ae.com/us/en/p/aerie/bottoms/leggings/offline-by-aerie-real-me-xtra-high-waisted-colorblock-legging/1701_6240_180?menu=cat1090003&ip=off
Aerie Real Me Xtra High Waisted Pocket Leggings,$32.97,unknown,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTiRKE2s9RVOFjEPZy64ce1eEzYkdI24BIDNyCdAwIz0sSIrnxRwZnDzyAeonwYFG2-Imbdfcy1hZRnWFYgNqLzj7K_iO6lOA,https://www.ae.com/us/en/p/aerie/bottoms/leggings/offline-by-aerie-real-me-xtra-high-waisted-pocket-legging/1701_6048_073?menu=cat1090003&ip=off
Aerie Real Me Xtra High Waisted Ribbed Leggings,$20.00,unknown,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTYw5qHrTEPR4P0Eci7QsV1mpgSxtvoDQLArZAedjd3JeKNwylY1UKlwZplfZOAfqI3WICusXoShMCofLNCOtSOR2HzYhDYLg,https://www.ae.com/us/en/p/aerie/bottoms/leggings/offline-by-aerie-real-me-xtra-high-waisted-ribbed-legging/1701_6112_412?menu=cat1090003&ip=off
Aerie Real Me Xtra Hold Up! Lift Leggings,$44.97,unknown,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQmf7nuweN22uMhNsPc2nWtMt1RCe9WdlLhPvPvwMP59hkit61s7X_NEVmyWdil0JU-msjg6IdwIUoH6P6QsbXt06JAiWYtfw,https://www.ae.com/us/en/p/aerie/bottoms/leggings/offline-by-aerie-real-me-xtra-hold-up-lift-legging/1701_6021_822?menu=cat1090003&ip=off
Aerie Real Me Xtra Ribbed Picot Trim Crossover Leggings,$27.47,unknown,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSvA7i5gxA9WijlKM5fsryDi0talMMtYAmZnWWzIxWKqYJF2trOtXhrBgCk1b6Axz2sqUovJ0KoRps4QGWGbVQpSkUkhAtqhg,https://www.ae.com/us/en/p/aerie/bottoms/leggings/offline-by-aerie-real-me-xtra-ribbed-picot-trim-crossover-legging/0491_6218_073?menu=cat1090003&ip=off
