item_name,item_price,item_gender,item_img,item_web_listing
32 Degrees Women's Midweight Hooded Puffer Jacket with Recycled Insulation,$14.99,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcThaJq8UUYh4eb0op52OhdBnyRG38P7URirLznOYrmaXYiWodA_UlFMhNQFnA6o1HgU9pLyr8zwOShFvmZGjyz0R9sgLpfk,https://www.32degrees.com/products/womens-midweight-puffer-jacket?variant=42645915402329&country=US&currency=USD&utm_medium=product_sync&utm_source=google&srsltid=AfmBOoo11lEpa-YS2bwEcIAWCvwdiPrr72qdgytAS2ZXI69ykvWVRIcN5u0
32 Degrees Women's Midweight Sherpa-Collared Puffer Jacket,$17.99,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQHUhq0Xye_iOks6CzJcC2HebjnaEVFHpZuAK5MP5ohPxJhgwsHU4FygGBSTeFbw2SFyoE8RqQa3TRlPmj29y4s2hRbZCmL,https://www.32degrees.com/products/womens-midweight-sherpa-collared-puffer?variant=42645916057689&country=US&currency=USD&utm_medium=product_sync&utm_source=google&srsltid=AfmBOoqArICo9F8PfC9kwvbhzA2BGGXAgCDmnGwQnJVnqNf4gCyhHEYK4-E
Abercrombie & Fitch Women's Vegan Leather Utility Jacket,$120.00,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSxbygtOFKgs1VfliGqEuz8JAwHi1xXdUO6lGqQOd0V-77nj2jPb24r29bLIAhHiBn5hQrFSknV_WxHxCKu_ofEvuqsjl4h,https://www.abercrombie.com/shop/us/p/short-vegan-leather-utility-jacket-61893325?seq=01&source=googleshopping
adidas Men's Essentials Warm-Up 3-Stripes Track Jacket,$33.00,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT90mk4hut8EHSx6fKu-RMPfujI19jeFcz4UAR4-FevbWfuvkbjkOCG1xC8xKp5L5pvUeVoYS6TL4FgyFdpSZF-DOwdtXlgNw,https://www.adidas.com/us/essentials-warm-up-3-stripes-track-jacket/H46101.html
All-Season Jacket,$219.95,unknown,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRICJ2anVXb4VY2k6vzBF64OTkrqx4EWA_xp2aEmw9pAoUf9FlEjdMdaoXv-JM_MDOP-SxnHTvLuOSigB9CGMZ4nw9Cov2Q,https://www.coldwatercreek.com/all-season-jacket/13262/?sku=132620554215
Alpha Industries CWU 45-P Flight Jacket,$200.00,unknown,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT5_rzgVe_KSrDfBlS9glhavfbam3BN8j7hs2y_-y4R9u3NCof8hibe4o0bcjiIUJND9Z7vLDTRwYGbVMs-sSBWZ17qc0nP8A,https://www.alphaindustries.com/products/mjc22000c1-cwu-45-p-bomber-jacket-heritage?variant=32275756286007&srsltid=AfmBOoqr50vwe3g7K4Ngu0IQ04Xzozmn2KeIyIil3e7x6-KL6RVy8ABvP44
Alpha Industries MA-1 Flight Jacket,$140.00,unknown,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT60gqIQtszpscb0HSy9nVB6k1RtZs0qriiZZyi7M1djW_iQ76mXfncYrWsQkLAEawTMdSYh5Tcisx6M6cpFjuM3J_BTFTaBHshIbwSAmaXfwVKHJmjLrK3SuU,https://www.alphaindustries.com/products/mjm21000c1-ma-1-bomber-jacket-heritage-limited-colors?variant=41856540311607&srsltid=AfmBOoqcS7kgTZR3GdMMtNpFPnalAWWqDaN_Ulb_z6A8pKAew4JqLXRVw3U
Alpha Industries MA-1 Mod Flight Jacket Men,$200.00,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQAZ9F6MNVPKNYvy2Q7b6SBIevaneFWLekmfHiH7Q7dnPWHgRJKl5DkGMR3pDHEbbaRDD6M8C2yDhJcoY4yDiumlKxziTtA_6llnTEMWHB89lKVK2qDTGplZw,https://www.alphaindustries.com/products/mjm53504c1-ma-1-mod-flight-jacket?variant=41402010107959&srsltid=AfmBOorxAOm_4KNmAADWyffIm0hruKWXDC9hbdnC3_aoHlPrW1Zee0NPqW0
Arc'teryx Men's Atom Hoody,$179.83,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQwvUQh5yJCPcuGJvJDgh9K59uoViSRqTXPqrTZLu4wQelFHCujsSNQTBQWfcGsEkIevtv7XW-ePL54cWp-VRNjvSyEnAS5fSt0WTRfaG-1BeOrchpN8NCZaQ,https://www.rei.com/product/243175/arcteryx-atom-insulated-hoody-mens?sku=2431750026&CAWELAID=120217890019456810
Arc'teryx Men's Beta SL Jacket,$500.00,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTxqxSpCJIgvdmkqaiEeO_4NSNBTC_uoI168x4lezjgpX57lmFbEwVfx2DaxIL-rdspyiAzxkfSq7mFyN1HcjXG8bV0z_uGUYrT8ZnGSZZiIilwOHGHxTbF,https://arcteryx.com/us/en/shop/mens/beta-sl-jacket-0553?srsltid=AfmBOooLX_8m-22409QfE81Hi_q35B9VtVhdOd-C5bYwJj0_HV3SL_nKIsw
Blue Revival Women's Classic Moto Unreal Leather Jacket,$99.00,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQv5h3TpllkHauo7_2XD-pu7zHt2sQzZkXFpsFmCp_9_-rwQPFBEFga6U6eCSZSbvx8lYwYOgj-LBGXMUyx2wmGNM6K2howCdSfBMeY2U8FNYbQHWP0GZSqFw,https://www.nordstrom.com/s/classic-moto-unreal-leather-jacket/8485848?color=Dusty+Blue&size=Regular-x-small&country=US&currency=USD&utm_source=google&utm_medium=organic&utm_campaign=seo_shopping&utm_channel=low_nd_seo_shopping&srsltid=AfmBOopo7FOVKtyrnJ9zp1R4XrJmtJALH6mbvluaJqG728qu-W-NauwYmso
Brink Black Heavy Puffer Jacket XL / Black,$45.00,unknown,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRNDCQwHA91cGoa03f95gsy7KZSaVfvlKx0nKwgT8xCyFDG_OOIMWH-sNRnSFqLq5PmqUk9yfGNvzInWqKOZzkzGGq4BeKGCa4W7GG5aeQi1EiQ5y-PinpYRw,https://www.rockstaroriginal.com/products/rsm-out-otw-9787-brink-heavy-puffer-jacket-black?variant=39927706124423&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOor7-NBOuIaAxBBjqesaCvf86XEziIWoR_PYbnw42hCQf99H96dACVg
Calvin Klein Men's Infinite Stretch Soft Shell Jacket,$60.00,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRtsrYsCKNggkK0AbF8MAqMkYBLnYOZIDwBb2s_-66rhIqdLJKeBHNlp2B_dlQAJ9o9Fyt_08LP_WJo2BVNkgdU-EQut23URUtpIqWe2FDCiVeNvqK959Jo-w,https://www.macys.com/shop/product/calvin-klein-mens-infinite-stretch-soft-shell-jacket?ID=9447534&pla_country=US&CAGPSPN=pla
Calvin Klein Men's Ripstop Bomber Jacket,$78.00,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTy_yZr7rVtc5UoipCdi_z-46OI4hSEnPjqQGLsADIIS2HPkXe8BJNyq4bWfD3YrfQrqy6OTGcRH-LDRoYz2sFI7fR6GT0Ky693uV8Ii6SWh0zgzskKcRZo6w,https://www.macys.com/shop/product/calvin-klein-mens-classic-zip-front-ripstop-bomber-jacket?ID=9452687&pla_country=US&CAGPSPN=pla
Calvin Klein Men's Soft Shell Open Bottom Jacket,$60.00,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTGtqTnTE6wOdlmpJsA8uFzr4FbqQkm36nZfy-k5Kn7QwhwS9iKs3mYBbda9OO47gPH6oRslUu6vIMeDfYeCqhz5if1BE2adKD7PI6A9vUnE5fTLZ3hjxwkPAU,https://www.macys.com/shop/product/calvin-klein-mens-infinite-stretch-soft-shell-jacket?ID=9447534&pla_country=US&CAGPSPN=pla
Carhartt Men's Bartlett Jacket,$149.99,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTEIEyjWlQg4vk603WUZIjBcR2yprA9jX1Zkjp8_bQF0Gu8iBLOJXvzivZO2amGznL-hCJKoEpQOizdzeNkr_cVr31wAvYF,https://www.tractorsupply.com/tsc/product/carhartt-mens-bartlett-jacket-103826-1357073?store=2036
Carhartt Men's Duck Detroit Jacket,$129.99,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQyJleVQXn2okWYeG6kxhfmg1WNWjCzjdUVfgzWkWLJEWrzvez4VN0WoAT6nj1s7Z1sw2ZMCw0zeesMJc1jIe9CGUbNU16DIDLXs8CRwjYZ7PLPKeMJFEC35w,https://www.workworld.com/products/carharttdetroit-jacket?variant=44468590968996&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOopQgwjzGW6ug2PGZVWnypnVFKLbrWhdEFmBvXYmPzHE03epUanZMz4
Carhartt Men's Flannel Lined Loose Fit Firm Duck Active Jacket,$129.99,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTuAZwsXMPfhizar6L8TjRug8F45K8yBU3KcF30oBGT6SoaYOv0-UipVSV-GP2GFkps87ttJ8BWN5RFhDaD1VJeLmn8I6zTnkukYSfMKBQb7JIF7069TwJG,https://north40.com/carhartt-mens-firm-duck-flannel-lined-jacket?sku=2690462&price=129.99&srsltid=AfmBOorLjNwFqiKGmZH3_TXE9md_-__C4Hf86sahG3rsRxZ5EgOJqRWmtqA#93=23593&276=13696&356=9237
Carhartt Men's Full Swing Washed Duck Insulated Active Jacket,$159.99,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcST-homj2mhbow_KHJiR7DnMTc1-8F1luh2zo9SWFQRpXQuXJR_o5AmQi_OXa1fagazTEYgxI_L6ooZhlwmUDbxZYrZ4tyCmEcogmqSB4c,https://www.dickssportinggoods.com/p/carhartt-mens-full-swing-duck-active-jacket-25cttmmfllswngdckmou/25cttmmfllswngdckmou?sku=27061109&srsltid=AfmBOooN0ihOEJYvZIH8mNB3vuTOeQd1-OI8_DsNx2g4NQVM50rKeEZJLVQ
Carhartt Men's Gilliam Insulated Jacket,$109.99,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRbuLanSgXmXzRPu-3yP38Q5f5NyxmG2rg-1dchISzwTaO_eT4nBMuuUWfKuGRGNjRDGwd6NQUHfSEkYkMT4Xn0-zpdYn6Q5dlB6g3W3xatdnP6mcZrvvBwZQ,https://www.hnwilliams.com/product/men-s-carhartt-gilliam-jacket/?attribute_pa_color=black&attribute_pa_size=2xl
