item_name,item_price,item_gender,item_img,item_web_listing
320H Threadfast Apparel Unisex Ultimate Fleece Pullover Hooded Sweatshirt,$19.75,unisex,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT-4GrNaEKSSnr1PfSa2dp3IANvcIqkKlii__eFfKAcb-7WaL5pI-rZ9jZ636y7rz5C60kI-0fL60G1HGDgKRTx34XqfvG5h3agB9X9903ilIt5maV-KFGuvA,https://checkout.clothingshoponline.com/products/threadfast-apparel-320h-ultimate-fleece-pullover-hooded-sweatshirt?variant=42354595594329&utm_source=google&utm_medium=organic&utm_campaign=shopping&utm_term=B789E0588&srsltid=AfmBOooud9BWMZzrgjnu33zBdvmhThtl7azjERJs0OuYooy1sE4sQ-4URNc
320Z Threadfast Apparel Unisex Ultimate Fleece Full-Zip Hooded Sweatshirt,$18.24,unisex,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQLO6v16k456fLkyd9Q0dfbwWKPZqH-QqTg6TtyFcAZTm6XGonXXrrIqRLxVcM2UFKrmwoodFNYJ8I7XGbBMK5jwjgaasLkauNAXY_6kCvvNiuXaf_7Bv4MBnU,https://checkout.clothingshoponline.com/products/threadfast-apparel-320z-fleece-full-zip-hooded-sweatshirt?variant=42354601525337&utm_source=google&utm_medium=organic&utm_campaign=shopping&utm_term=B792E0582&srsltid=AfmBOorrk2st_KVw-8Gvhug-lFhypHaXEw0a_1n9m0XFUUumFjju9O3jLg4
900 Global Comfort Men's Bowling Pullover Hoodie,$55.95,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSPK0zPf-t-nIi-KdV_6pRYMmEqupFEjo8VTkylPif_eLgqWn7AORynilwWJNPsv5e-a0O61MNr7YUm5JXvoUc08ZCLTR-i,https://www.bowlersmart.com/product/900-global-comfort-mens-bowling-pullover-hoodie/?attribute_pa_color=heritage-brown&attribute_pa_size=xsmall&srsltid=AfmBOopftqtaVohrb8laOQhToTTuK4dnCepEFhwbwvmOULkRtMFfzUv-0RQ
Abercrombie & Fitch Men's Essential Hoodie,$59.99,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQx34BJpSb32E6HTkzdupyFJvkm5I-FBFAdsRO3D6D4T3nHdtb6mbYzNukCJkGAfPm5DDgTR_1NyEaWi95y098huQ6kbhfy,https://www.abercrombie.com/shop/us/p/essential-popover-embroidered-hoodie-61980864?seq=24&source=googleshopping
Abercrombie & Fitch Men's Goodyear Graphic Hoodie,$59.99,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQUKGxVBK6xJGhcIECbPQncmo-rWVt6ToFhQ8tMJsij8Ucp6Xa4sAgfkHWHtkfWyxNfXDmpJS4Z8CQdjAVA-obI1yK2b4O4,https://www.abercrombie.com/shop/us/p/goodyear-graphic-popover-hoodie-62204325?seq=01&source=googleshopping
Abercrombie & Fitch Men's Logo Popover Hoodie,$95.00,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQtvRtFDdUp46iax7-M2Vq6NNJyqgM9y3iekfIdAb7r2NoAJIZrCVtcTOnGOkQk_j56FKVc6OhQDk26QqHphStRn5PD-mZqZQ,https://www.abercrombie.com/shop/us/p/logo-popover-hoodie-61587319?seq=02&source=googleshopping
Abercrombie & Fitch Women's On The Go Full-Zip Hoodie,$70.00,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRGu3rN1x75zr8BHgqN3gJOPGP8733WYgjXnl1xcS9dKf_GAJz_dbQS32cc6C6mlHs3m-DLe4vD6b_9M1dOrwUnloyamrw,https://www.abercrombie.com/shop/us/p/ypb-on-the-go-french-terry-full-zip-60893319?seq=08&source=googleshopping
ACT of Love Hoodie,$95.00,unknown,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRbZJ-Oukjj9fQFQ4st2Cev3mP7gnr-xJtDwX_VcDWx10XC1yhF_GZCl8MVehnefYWGV7YAkXYTyGnm3LzNeYjHjKocTEBqCWKbEvyrpo1fNuMe2dK_jKcY1ow,https://customer.chnge.com/products/act-of-love-hoodie-fog?variant=43191275552920&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqerx7DBvdXhCr5F5c1iDPgEIzBGVYcdZKVZStFqr5nGALR-_-nHsA
adidas Essentials 3-Stripes Fleece Hoodie,$34.99,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSc-EdCaJ9QLtnUL-VE5cdcpXNH2cnMxr8U-sBZv_tAoXhcr8IFCqshsTm1P11q1_DDOLof7SaI50IfdesbcC9dY-5MMXLCey_QU_HnkdS6pRDXk2tE8yqPMQ,https://www.macys.com/shop/product/adidas-mens-essential-three-stripes-fleece-hoodie?ID=18578376&pla_country=US&CAGPSPN=pla
adidas Men's Essentials 3-Stripes Fleece Hoodie,$34.99,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSp1wOoJlwoGNqEjqZHj_HnN9bL-UhTxUmYrSF7GAKO5a2wmHG59nfI50W50KF_GgUztTBS1fTfqFvP04gO78_OP7XHRm1bATQbJgIyRtPv6cqw0J0y8dzxGP0,https://www.macys.com/shop/product/adidas-mens-essential-three-stripes-fleece-hoodie?ID=18578376&pla_country=US&CAGPSPN=pla
