item_name,item_price,item_gender,item_img,item_web_listing
32 Degrees Women's Stretch Twill Cargo Skirt with Pockets,$12.99,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTXGWrZqJroNlhwJP0vCJTMmR9sRezHqdSsLsZC7uLRxg4hofy_vj60p6_FdwwL2ApwzFRGKUiaSq0Ctg9SowyRv5Vx8YVe-w,https://www.32degrees.com/products/womens-mini-knit-twill-cargo-skirt?variant=42439525662809&country=US&currency=USD&utm_medium=product_sync&utm_source=google&srsltid=AfmBOopjYs6_07DTrY77tUZuJD4DNErLc5tdhuDlr_ME068hiUwOHMkJCzY
A Day's March Bonlee Poplin Midi Skirt,$160.00,unknown,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTBjc4FWQYi1qhxYHrXFYdj0aYYdH-oeE71J58fbIbwp-C5s90hvS8EF70ePBKxvJ4TQMmlIxfop1VYbHqBFKOlbSExqtFE,https://www.adaysmarch.com/us/bonlee-poplin-midi-skirt-moonstruck?currency=usd&stay=1&country=us&color=10388
A-Line Skirt,$150.00,unknown,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSYknZTNqNHTmPK-RXLwWkJr7a5NUrQ8iuKSGoIeQu52oNsaFhID2t-73f6DG1yc4TY1UzuD0CtrTPrQrcKw_jrpK4nbeswBXNd0SecUXpDYGZ0qsEbb67bMA,https://bleusalt.com/products/the-a-line-skirt?currency=USD&variant=39629784023153&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=9c903819d3bb&srsltid=AfmBOooYieydHvx5fnpTB_d7bdZtOZ0fyEthWFGNTaa_sz6xhj2959LC1ik
Abercrombie & Fitch Women's Boho Maxi Skirt,$95.00,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQVd2pmRBNB7iMwe_Hk4EfrrfoZtevhGJd4VpaEiw31L6rFzSAjt4EcCz85TzKehn8CSF9kzG-b3BvEqC8YHBywCXuPtgOeug,https://www.abercrombie.com/shop/us/p/boho-maxi-skirt-61970819?seq=02&source=googleshopping
Abercrombie & Fitch Women's Godet Midi Skirt,$56.00,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTIoHGKwdjx3XxSgvO7rRRF4xWWJqg4i54WOdoF07AxwE8zIdVe_aU2eDjcUE2WzLifL7CHsKUu0sZ9gWljyE05iafQIdPg,https://www.abercrombie.com/shop/us/p/godet-midi-skirt-62051322?seq=02&source=googleshopping
Abercrombie & Fitch Women's Mid Rise Asymmetrical Hem Midi Skirt,$60.00,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS779ylwalKPtuUXPX54rQPgWPwAJLSjtp2SCyu2OQrtT4C8AvninnB9XAgQDSiJxmzZlkHo_qmo55MTS08XXP0x6gZRhPmXQ,https://www.abercrombie.com/shop/us/p/mid-rise-asymmetrical-hem-midi-skort-59492844?seq=01&source=googleshopping
Abercrombie & Fitch Women's Mid Rise Asymmetrical Hem Stripe Midi Skirt,$19.97,women,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRof4H0UceoRGONDk0hQF7_urlE0vIcA2jOxOx1AlzXdpg3TgGpq94s84y6fe5YfT53SBcSdNpEjK-OQb-4e3bi_uFeoBGHjQ,https://www.abercrombie.com/shop/us/p/mid-rise-asymmetrical-hem-midi-skirt-60952844?seq=01&source=googleshopping
Abercrombie & Fitch Women's Mid Rise Denim Mini Skirt,$44.99,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQFL5AkhIgTDDHd6T88X75XnOu7uqGTZp6qx8riIy8WiMdkdI9x36KJMcHCyZok4bQAzO2SC-6GeRCP7uNWdMUz2AwTG9g41w,https://www.abercrombie.com/shop/us/p/mid-rise-denim-mini-skirt-62344830?seq=01&source=googleshopping
Abercrombie & Fitch Women's Mid Rise Pencil Midi Skirt,$16.97,women,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQypvLcC2O5z1cnp6NxT3sWH7G0eVBt6lqYoIBTAVxYFFaKxRgn4GgTkr10YCq7bv4NKfcCrXWB8uBqDieJAVNDInclTH0V,https://poshmark.com/listing/Abercrombie--Fitch-Gray-Pencil-Skirt-699b4c13850012c5000724b0#utm_source=gdm_unpaid
Abercrombie & Fitch Women's Mid Rise Wrap Maxi Skirt,$29.97,women,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSl_v-jU46sPo_LBlkpjsefzB9dwccObOlg26u0aNJYFvfmZSgfXbvt4DoFzJcz7oUQ5gCdfoSGlOyj0sML5nIDDdVQdHFf,https://www.abercrombie.com/shop/us/p/mid-rise-wrap-maxi-skirt-59794825?seq=01&source=googleshopping
AE Women's High-Waisted Dipped-Waist Mini Skirt,$17.85,women,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR1GDmUkf0K-pH2RrfSUnfck7VCWmknSApgHaUPozQ0IstIVTuJSpJ1ibNUz6ZxpKS_-LPEWq-i_bkZ4TfUgxRA-sJ9tnTg-A9pYWqgbcnK1NN46VtxCkzCQBk,https://www.doordash.com/products/-/ugp_31fe9d45-9afe-4762-9cee-9d660bbff537?business_id=14495213&ms_id=0043863802&utm_source=Google&utm_medium=PLA&utm_campaign=organic_product_listing&srsltid=AfmBOoqGtEQWNLCm_kZTVB6-ON2r6x8wkaDDwRw-2FQOZHkNQ9P97SCixJI
