item_name,item_price,item_gender,item_img,item_web_listing
32 Degrees Men's Casual Short Sleeve Dress Shirt,$7.99,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRMeIxUWiK3L_Kn9i4g2Q7r-sQO_glGonHzAvgFWV_qwMyfUDkXuUQRf8oCQq1z2kIV9kznCde2Vwvzv9S9MXog-nl4xCtrFg,https://www.32degrees.com/products/mens-woven-button-up-shirt?variant=42166698049625&country=US&currency=USD&utm_medium=product_sync&utm_source=google&srsltid=AfmBOoptdJxxxK0EfMxDJXD45Wx1Fiy6fxD_AQ_EbOpHRT67yKN3aBznhKQ
32 Degrees Men's Stretch Comfort Long Sleeve Dress Shirt,$12.99,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS578n-scJCi-l5g52K_es4QmbtiJl1M1v5RZBjDawvrcLiaRjjND3OXTZxJkq9yFttsRqjYPNgJfe8bqAt0etDlqN0g9w5,https://www.32degrees.com/products/mens-stretch-woven-long-sleeve-button-up?variant=42202637860953&country=US&currency=USD&utm_medium=product_sync&utm_source=google&srsltid=AfmBOoqazE36lHYifXoelngwWXEmtnvaqTh0ulosfGE0Lq1lyjVxDbNbySA
7 Diamonds Landen Button Up Shirt,$89.00,unknown,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcStblm5mPoTI24s1hcIUWf6XbEkdUtVM4sCZ0_W2b57D4FYtDokTDjtoljVRaf8jzoY-cPbVfwhPHTzI7gf7cW8az8M77dDO3n6H1xGKIWhF8E7IwOks_4sFV4,https://www.scheels.com/p/65878292920/?utm_source=google&utm_medium=cpc&utm_campaign=unpaidlistings?utm_source=google&utm_medium=cpc&utm_campaign=unpaidlistings_local&store=80
Abercrombie & Fitch Men's Brushed Button-Up Shirt,$49.99,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRvfu5z-GZBzEXhs4MuB2B_Y_WD87LWiyU7OI2GvBNHRoD4a1GmnPz7u-WeaSXqnGyhP1H_mhUTjY9iWbxua_UBnv2FWTrxxw,https://www.abercrombie.com/shop/us/p/brushed-button-up-shirt-62252843?seq=02&source=googleshopping
Abercrombie & Fitch Men's Camp Collar Button-Up Shirt,$16.97,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSgBTdXy551WAthhQrmapoNicQIupkhqeFDXeLTudiztVDgDRYs-B-PjuqnJNmtScXtlOpa1VR_uWKtEW4-aqZEeLq2l2Gw,https://www.abercrombie.com/shop/us/p/camp-collar-textured-button-up-shirt-59793334?seq=01&source=googleshopping
Abercrombie & Fitch Men's Camp Collar Cupro Shirt,$26.97,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRH698-WOOQNKJ57mOH5MRgiwTEsZj6Ddgo1_tKl3ULkpdONmVLSGbCUH4DgHFL5H6HRlpvswQEKprhnYiFbaamwVBm5oi-,https://www.abercrombie.com/shop/us/p/camp-collar-cropped-cupro-shirt-61283333?seq=05&source=googleshopping
Abercrombie & Fitch Men's Cotton Button-Up Shirt,$49.99,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS1v4ri03KdEnCIe9m7rdRRq2aSxN5Mtr2gmrJKhgp2XeeuGYsEPA4bxDMSkdTqLpgHyUo8KHy8M1J35GP8n0WsPSR2el-KIA,https://www.abercrombie.com/shop/us/p/linen-blend-button-up-shirt-62436820?seq=03&source=googleshopping
Abercrombie & Fitch Men's Go-To Shirt,$22.97,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTeEwc3ad16tvV5Ax2H3Kapomsdy0DmXlHM4DrXA4wI6hgIa2Sk5wEoz0jXv9sv8IPBeS4ztSl5vuU0CQ1lIQyf6WDwMwBPMQ,https://www.abercrombie.com/shop/us/p/a-and-f-go-to-shirt-59620847?seq=07&source=googleshopping
Abercrombie & Fitch Men's Lightweight Crinkle Plaid Button-Up Shirt,$22.97,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS7sTiH1ddIXXtHixZuO3SKGBvFloepfK9bQzdTlTBu2g_n88wlo-cLxm4ITR8d0uPnlF1pT-CWL8Lq0V0jK8IVHqFUXdLa6w,https://www.abercrombie.com/shop/us/p/lightweight-crinkle-button-up-shirt-61283819?seq=02&source=googleshopping
Abercrombie & Fitch Men's Linen Button-Up Shirt,$44.99,men,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRzJfE-RMoOHk4Hi518to4s01mKNPj8M06Wu3GNz2T8riNbQyX6uJbM70HAlHnsSpGYR3hcqMsX4wctRv9AMo2jNalYFpp2YA,https://www.abercrombie.com/shop/us/p/linen-button-up-shirt-62028338?seq=03&source=googleshopping
