item_name,item_price,item_gender,item_img,item_web_listing
Abercrombie & Fitch Men's Plaid Flannel,$78.00,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRq0K-d3_38datL624eApmRxub1CReEHjzcLf9N1SUI3-Y0Eho6yQRy15UyPQeuc24UMZUcVS4m_Go4x3zIYZlE3mdAIKbQ,https://www.abercrombie.com/shop/us/p/cropped-flannel-61147874?seq=01&source=googleshopping
Abercrombie & Fitch Men's Slub Flannel,$66.30,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSRIUTYbuqqbRgN5PdTiYhHwqg-ukjadJ-NUI8xsdjUZ__UtM-15vSawb63J2eHGeCr_NvcZmErVv8SV7sjUGSatv2aVJEjzQ,https://www.abercrombie.com/shop/us/p/slub-flannel-61142849?seq=01&source=googleshopping
AE Men's Boxy Flannel Shirt,$19.48,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTWZQEHab41cT-m8ydQQJzs2QMn4lYGbFcI66CrqhFa40SVH62TL-cvpcrrEjaY8ffIwHa3ONqHtvkHZk0VzyYJf_24KBzZ8A,https://www.ae.com/us/en/p/men/tops/shirts-flannels/ae-boxy-flannel-shirt/2151_3023_402?menu=cat4840004
AE Men's Boxy Lightweight Flannel Shirt,$16.49,men,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSG5U_Tt6UH9drznLqGQlYlyfqcj_sV5SjLmX7RGu5HnPAXHwaJJjmupdQAFUfWPOFifLvdDJMZiTcZ5UfF12nbykfMkdLUNmcr1eYyXQIMdDEPynvG5N9L1w,https://www.doordash.com/product/0043962711?business_id=14495213&ms_id=0043962711&utm_source=Google&utm_medium=PLA&utm_campaign=organic_product_listing&srsltid=AfmBOoqpHlU6P6ddjO_jxdx1BWvW3VwgnZopHhnA4xvjHRF_zJdC4wJpv8M
AE77 Premium Flannel Shirt,$39.20,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTPY9IxQh4CJv8T8ZUav8dAZofviBhknqjF_S89Z_dahHrcpv7b0GaSFWmLqjrcLalVO1OgAs5yNkR-v2-4ORCj_6q6FB4H,https://www.ae.com/us/en/p/men/tops/button-up-shirts/ae77-premium-flannel-shirt/2308_2327_200?menu=cat4840004
Banana Republic Men's Relaxed-Fit Flannel Overshirt,$64.99,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSyS1ieOHqb2Lufy5lEuE6CyHc6nzEI2-cF2qZ18tc5DwBiuxH_RvV8o8ff3SGK56CuHlry2EIQEAbqlXBAavEt1JzEskCH_xFyvqdywBU,https://bananarepublic.gap.com/browse/product.do?pid=789722072&vid=1&tid=brns000051
Banana Republic Men's Standard-Fit Lightweight Flannel Shirt,$34.99,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSV_zyYp5OkfkTn3d4mxPc4TxyUR2_nlwDrar9eN1LdRiRNINhyrfwGcguRQC6RdDje6Ye8o4vBr8ojpn9zViZhDesXdsI4-ElrcAGdST34PNRCjEEvo701,https://bananarepublic.gap.com/browse/product.do?pid=789729112&vid=1&tid=brns000051
Bearbottom Everyday Flannel Shirt,$55.00,unknown,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSgVGPAbQwt1PpgQpHd_6AKXNtf5BP27Dv0Ssw25XQlfWonMVSnovOAqhLmAsvkSltrzCJ1r1o1WCct5qP-_3TlAuWXflgGWfWXPLWGFHcrdyvjasLxxgDqqw,https://bearbottomclothing.com/products/everyday-flannel-shirt?currency=USD&variant=42709999124619&stkn=3ef366f102ee&srsltid=AfmBOoo0X6sz3iwe6SynhwBicWar8JCBcuTCH7MGS4Wo839y41pNqaJGooM
"Big & Tall Sonoma Goods For Life Super Soft Long Sleeve Brushed Flannel Shirt, Men's, Size: 2XB, Green Heather Tri Buff",$8.91,men,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS3dPeb5kXAd2bqIeE2G376Wc5LbYPcc97ZzkpbNISSX6RTC3DKzwB48fcPO1raTZL5mI-NpAamotYdHn2c2KRSL_4ZEON1,https://www.kohls.com/product/prd-7578290/big-tall-sonoma-goods-for-life-super-soft-long-sleeve-brushed-flannel-shirt.jsp?skuid=73363649&CID=seo_offers&utm_campaign=SAG&utm_medium=organic&utm_source=google&utm_product=73363649
"Big & Tall Sonoma Goods For Life Super Soft Long Sleeve Brushed Flannel Shirt, Men's, Size: 2XB, West Window Purple",$15.29,men,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRE0hKvpoxMN976bgL72e61IYb4HKXdLUPwEvRYTXHrasuUj-FaSusS1Y9NlYtnvH9LSnqMVdz1nSLvR3-TxJGFwfBhXyXUcw,https://www.kohls.com/product/prd-7578290/big-tall-sonoma-goods-for-life-super-soft-long-sleeve-brushed-flannel-shirt.jsp?skuid=75005657&CID=seo_offers&utm_campaign=SAG&utm_medium=organic&utm_source=google&utm_product=75005657
