tsne_x,tsne_y,item_id
6.962098121643066,-29.033214569091797,1
9.540825843811035,-12.450637817382812,2
-20.630220413208008,10.020243644714355,3
46.775238037109375,5.532149314880371,4
52.159610748291016,9.607560157775879,5
16.72081756591797,-7.919909477233887,6
-11.671897888183594,-6.806081771850586,7
15.734560012817383,-7.8190083503723145,8
16.03849983215332,-7.901167869567871,9
17.05820083618164,-7.690138816833496,10
18.31407356262207,-4.174677848815918,11
19.48160171508789,-5.657008171081543,12
11.329407691955566,-2.012784004211426,13
2.2421927452087402,-22.878341674804688,14
20.731355667114258,12.867788314819336,15
15.218083381652832,2.3537240028381348,16
8.750431060791016,-12.762503623962402,17
20.247438430786133,14.55465316772461,18
8.717763900756836,-13.042217254638672,19
19.957763671875,15.293396949768066,20
20.09724235534668,14.4105224609375,21
10.343914985656738,15.508759498596191,22
19.860340118408203,14.298733711242676,23
18.989294052124023,15.283514976501465,24
20.43596839904785,13.579460144042969,25
19.12680435180664,11.45100212097168,26
19.46626091003418,14.031631469726562,27
11.845776557922363,9.993549346923828,28
18.362220764160156,8.034429550170898,29
6.573270320892334,-12.648862838745117,30
0.8742758631706238,15.899657249450684,31
-4.683444023132324,12.587749481201172,32
-9.797643661499023,-24.863597869873047,33
-14.086199760437012,-22.019800186157227,34
-8.898361206054688,-24.268733978271484,35
-12.91124153137207,-20.7065372467041,36
-14.12763786315918,-19.78247833251953,37
-7.1418304443359375,-6.962449073791504,38
11.348851203918457,10.811615943908691,39
-10.66267204284668,-20.455305099487305,40
7.131689548492432,-13.472585678100586,41
-11.936716079711914,-20.577926635742188,42
-12.731213569641113,-20.50667953491211,43
-12.399494171142578,-20.723739624023438,44
-13.11221981048584,-20.41075325012207,45
-25.00420379638672,5.136135578155518,46
-10.800407409667969,-25.407678604125977,47
-9.219419479370117,-26.223960876464844,48
8.87510871887207,-13.385383605957031,49
29.695846557617188,-33.2247428894043,50
34.79718780517578,-4.07664155960083,51
18.052223205566406,21.854366302490234,52
19.05516242980957,-0.9255293607711792,53
20.780364990234375,-1.346006155014038,54
18.474014282226562,-2.0322866439819336,55
33.62394714355469,-29.63267707824707,56
15.078655242919922,4.798788070678711,57
34.536190032958984,-31.30183219909668,58
16.785022735595703,2.241474151611328,59
19.181007385253906,-0.8385344743728638,60
22.416790008544922,-2.3127379417419434,61
16.230213165283203,-0.62455815076828,62
19.584075927734375,-2.262873888015747,63
21.68941307067871,-3.688704252243042,64
33.39800262451172,-29.011228561401367,65
18.097736358642578,21.978776931762695,66
17.535659790039062,-6.730073928833008,67
36.50225067138672,-32.04392623901367,68
31.137910842895508,-32.819793701171875,69
22.49883460998535,-2.717841148376465,70
24.132280349731445,-4.05125617980957,71
32.3783073425293,-30.20809555053711,72
33.523746490478516,-29.170711517333984,73
34.42210006713867,-31.014562606811523,74
18.97796058654785,-2.09561824798584,75
7.662516117095947,-17.538063049316406,76
22.937681198120117,-3.3300364017486572,77
-12.553451538085938,-21.9747371673584,78
-18.995147705078125,-1.1218795776367188,79
18.617753982543945,0.07298745214939117,80
10.445282936096191,-0.2738376259803772,81
7.347455978393555,9.543785095214844,82
12.916735649108887,-3.19606614112854,83
19.031980514526367,10.847169876098633,84
12.837357521057129,2.175412178039551,85
-9.41506576538086,-26.34377098083496,86
-8.002420425415039,-22.154226303100586,87
13.069192886352539,13.804178237915039,88
8.789863586425781,13.001110076904297,89
15.266468048095703,12.900042533874512,90
16.984703063964844,3.6493866443634033,91
5.331456184387207,16.7491397857666,92
4.717608451843262,10.430449485778809,93
4.869882106781006,10.949956893920898,94
-11.121663093566895,-13.084471702575684,95
0.2496061623096466,26.873523712158203,96
9.762385368347168,13.84225845336914,97
10.041414260864258,13.884284973144531,98
-14.318629264831543,10.19150161743164,99
18.44845962524414,1.0019426345825195,100
48.22705841064453,-10.641634941101074,101
-12.654131889343262,-18.53664779663086,102
-13.215252876281738,-22.258426666259766,103
-7.8508477210998535,-22.522201538085938,104
-6.583182334899902,-0.8639222979545593,105
12.282230377197266,15.55799674987793,106
4.093898773193359,-17.417709350585938,107
2.4161486625671387,-17.886493682861328,108
20.65182113647461,8.206722259521484,109
21.823265075683594,13.670584678649902,110
21.493318557739258,14.488200187683105,111
24.719701766967773,9.80825424194336,112
23.304765701293945,21.57846450805664,113
41.70494842529297,10.251635551452637,114
24.232494354248047,6.639849662780762,115
27.901107788085938,-12.408473014831543,116
8.526741027832031,-12.261148452758789,117
2.3782448768615723,-19.215862274169922,118
20.739580154418945,6.046027183532715,119
-25.32221031188965,8.168318748474121,120
19.213510513305664,8.127305030822754,121
20.493181228637695,11.724239349365234,122
21.242076873779297,12.557414054870605,123
21.71193504333496,13.297080993652344,124
-3.9708237648010254,-22.649463653564453,125
6.011789321899414,-17.98759651184082,126
-9.33789348602295,-25.02923583984375,127
-18.374956130981445,11.45947551727295,128
-4.440924644470215,0.6474387645721436,129
23.288545608520508,2.9720582962036133,130
-3.947723865509033,0.7028275728225708,131
-13.570033073425293,-19.93767738342285,132
21.527690887451172,9.201407432556152,133
15.66092586517334,1.915250301361084,134
19.172710418701172,9.390403747558594,135
11.659113883972168,-3.104051113128662,136
17.99993324279785,0.5248649716377258,137
20.166135787963867,10.818075180053711,138
20.323219299316406,8.032700538635254,139
18.431438446044922,0.3221437633037567,140
9.542316436767578,-30.22210121154785,141
8.106966972351074,-14.57055950164795,142
6.999456405639648,-13.144515037536621,143
21.15821075439453,6.3548502922058105,144
19.20977783203125,8.11417293548584,145
1.7434345483779907,-14.156012535095215,146
-8.512374877929688,-25.779321670532227,147
46.91520309448242,-12.212718963623047,148
51.191566467285156,9.677143096923828,149
18.168474197387695,-2.2488183975219727,150
-25.624086380004883,5.939116477966309,151
-25.480310440063477,7.414417743682861,152
6.531174659729004,-11.55140209197998,153
6.3870368003845215,-12.072237968444824,154
8.334359169006348,-13.467916488647461,155
5.631375789642334,-18.60255241394043,156
-10.087778091430664,-23.120018005371094,157
3.8842568397521973,-17.193010330200195,158
1.1524854898452759,-18.45269012451172,159
16.228837966918945,1.8478649854660034,160
5.205920696258545,17.91719627380371,161
-14.325371742248535,-5.96954870223999,162
-16.672618865966797,6.577885150909424,163
14.281177520751953,17.3416690826416,164
16.045452117919922,18.4486141204834,165
14.390986442565918,18.153175354003906,166
14.42509651184082,17.446800231933594,167
17.00882911682129,2.8287477493286133,168
16.806623458862305,6.824669361114502,169
-7.445742130279541,-24.944690704345703,170
-17.20673179626465,-12.617903709411621,171
6.168235778808594,-16.450172424316406,172
19.444751739501953,7.117474555969238,173
21.593599319458008,9.531493186950684,174
-24.00850486755371,6.118269443511963,175
11.427177429199219,9.914628982543945,176
21.612234115600586,-3.627398729324341,177
